CountryName,CountryCode,IndicatorName,IndicatorCode,Year,Value
Brazil,BRA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,2.19139356376845
Brunei Darussalam,BRN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,24.3920133786297
Bulgaria,BGR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,6.71438250987163
Burkina Faso,BFA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.119980559825133
Burundi,BDI,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.0213499260634489
Cabo Verde,CPV,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.8590614327922951
Cambodia,KHM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.308073151562941
Cameroon,CMR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.26809179288950497
Canada,CAN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,14.1358133791149
Cayman Islands,CYM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,10.3049310710498
Central African Republic,CAF,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.0631278135947735
Chad,TCD,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.0438304243635328
Chile,CHL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,4.61644538016156
China,CHN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,6.71030199087886
Colombia,COL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,1.56062909881097
Comoros,COM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.22023347281737304
"Congo, Dem. Rep.",ZAR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.050302687534910996
"Congo, Rep.",COG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.5380983785504739
Costa Rica,CRI,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,1.7049744950915
Cote d'Ivoire,CIV,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.312877702632263
Croatia,HRV,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,4.80153001129275
Cuba,CUB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,3.1723150914420097
Cyprus,CYP,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,6.73537582255401
Czech Republic,CZE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,10.4310881349318
Denmark,DNK,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,7.24832871740999
Djibouti,DJI,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.561940931477949
Dominica,DMA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,1.74614156466205
Dominican Republic,DOM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,2.18290788799199
Ecuador,ECU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,2.35401738651458
"Egypt, Arab Rep.",EGY,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,2.63511522475978
El Salvador,SLV,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,1.10399857445029
Equatorial Guinea,GNQ,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,8.9072415363595
Eritrea,ERI,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.108718364579018
Estonia,EST,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,14.0498825181421
Ethiopia,ETH,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.0839431166461619
Faeroe Islands,FRO,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,11.7212117462674
Fiji,FJI,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,1.42481324805984
Finland,FIN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,10.1640460986379
France,FRA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,5.18504342392799
French Polynesia,PYF,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,3.16795268439279
Gabon,GAB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,1.41816574927503
"Gambia, The",GMB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.24109841695638695
Georgia,GEO,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,1.769150523604
Germany,DEU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,8.91783284592949
Ghana,GHA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.404379797695834
Greece,GRC,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,7.55605776856022
Greenland,GRL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,12.440341008964698
Grenada,GRD,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,2.4081374321880697
Guatemala,GTM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.748055056454528
Guinea,GIN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.22942342456503895
Guinea-Bissau,GNB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.146810683420286
Guyana,GUY,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,2.35772202840916
Haiti,HTI,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.217962047888149
Honduras,HND,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,1.1037450530833302
"Hong Kong SAR, China",HKG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,5.69526853894451
Hungary,HUN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,4.862989931433139
Iceland,ISL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,5.89682897929244
India,IND,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,1.6628734828669098
Indonesia,IDN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,2.303780982809509
"Iran, Islamic Rep.",IRN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,7.80214509349436
Iraq,IRQ,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,4.20163513007514
Ireland,IRL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,7.8807593262882305
Israel,ISR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,8.95241353112365
Italy,ITA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,6.70255761383033
Jamaica,JAM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,2.8726556926748903
Japan,JPN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,9.29183430343302
Jordan,JOR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,3.60114706358194
Kazakhstan,KAZ,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,15.810097544181799
Kenya,KEN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.327569171129451
Kiribati,KIR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.5956220978005389
"Korea, Dem. Rep.",PRK,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,2.98718211203856
"Korea, Rep.",KOR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,11.840756866690302
Kuwait,KWT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,28.1026617530789
